entity_id,anatomy,biological_process,cellular_component,disease,drug,effect__phenotype,exposure,gene__protein,molecular_function,pathway
pectoral fin ray 5,1,0,0,0,0,0,0,0,0,0
pectoral fin ray 6,1,0,0,0,0,0,0,0,0,0
pectoral fin ray 7,1,0,0,0,0,0,0,0,0,0
retractor tentaculi,1,0,0,0,0,0,0,0,0,0
anal fin ray 1,1,0,0,0,0,0,0,0,0,0
anal fin ray 2,1,0,0,0,0,0,0,0,0,0
anal fin ray 3,1,0,0,0,0,0,0,0,0,0
anal fin ray 4,1,0,0,0,0,0,0,0,0,0
anal fin ray 5,1,0,0,0,0,0,0,0,0,0
anal fin ray 6,1,0,0,0,0,0,0,0,0,0
anal fin ray 7,1,0,0,0,0,0,0,0,0,0
pelvic fin ray 1,1,0,0,0,0,0,0,0,0,0
pelvic fin ray 2,1,0,0,0,0,0,0,0,0,0
pelvic fin ray 3,1,0,0,0,0,0,0,0,0,0
pelvic fin ray 4,1,0,0,0,0,0,0,0,0,0
pelvic fin ray 5,1,0,0,0,0,0,0,0,0,0
pelvic fin ray 6,1,0,0,0,0,0,0,0,0,0
pelvic fin ray 7,1,0,0,0,0,0,0,0,0,0
supraoccipital crest,1,0,0,0,0,0,0,0,0,0
autopalatine-vomer joint,1,0,0,0,0,0,0,0,0,0
branched dorsal fin ray,1,0,0,0,0,0,0,0,0,0
unbranched dorsal fin ray,1,0,0,0,0,0,0,0,0,0
pectoral fin spine,1,0,0,0,0,0,0,0,0,0
pelvic splint,1,0,0,0,0,0,0,0,0,0
dorsal fin spine 1,1,0,0,0,0,0,0,0,0,0
dorsal fin spine 2,1,0,0,0,0,0,0,0,0,0
pharyngobranchial 3 bone uncinate process,1,0,0,0,0,0,0,0,0,0
pharyngobranchial 4 bone uncinate process,1,0,0,0,0,0,0,0,0,0
orbitosphenoid-prootic joint,1,0,0,0,0,0,0,0,0,0
ceratohyal foramen,1,0,0,0,0,0,0,0,0,0
epibranchial 2 bone uncinate process,1,0,0,0,0,0,0,0,0,0
epibranchial 1 bone uncinate process,1,0,0,0,0,0,0,0,0,0
epicentral bone,1,0,0,0,0,0,0,0,0,0
recessus lateralis,1,0,0,0,0,0,0,0,0,0
cephalic rib,1,0,0,0,0,0,0,0,0,0
quadrate-hyomandibula joint,1,0,0,0,0,0,0,0,0,0
quadrate-metapterygoid joint,1,0,0,0,0,0,0,0,0,0
olfactory nerve foramen,1,0,0,0,0,0,0,0,0,0
articular bone,1,0,0,0,0,0,0,0,0,0
intracranial diverticulum of swimbladder,1,0,0,0,0,0,0,0,0,0
preepiotic fossa,1,0,0,0,0,0,0,0,0,0
facial foramen,1,0,0,0,0,0,0,0,0,0
trigeminal foramen,1,0,0,0,0,0,0,0,0,0
supraorbital sensory canal,1,0,0,0,0,0,0,0,0,0
infraorbital sensory canal,1,0,0,0,0,0,0,0,0,0
preoperculo-mandibular sensory canal,1,0,0,0,0,0,0,0,0,0
preopercular sensory canal,1,0,0,0,0,0,0,0,0,0
mandibular sensory canal,1,0,0,0,0,0,0,0,0,0
nuchal plate,1,0,0,0,0,0,0,0,0,0
anterior nuchal plate,1,0,0,0,0,0,0,0,0,0
middle nuchal plate,1,0,0,0,0,0,0,0,0,0
dorsal fin proximal radial bone 1,1,0,0,0,0,0,0,0,0,0
dorsal fin proximal radial bone 2,1,0,0,0,0,0,0,0,0,0
posterior nuchal plate,1,0,0,0,0,0,0,0,0,0
notochord posterior region,1,0,0,0,0,0,0,0,0,0
epibranchial 3 bone uncinate process,1,0,0,0,0,0,0,0,0,0
epibranchial 4 bone uncinate process,1,0,0,0,0,0,0,0,0,0
lateral line scale,1,0,0,0,0,0,0,0,0,0
urohyal lateral process,1,0,0,0,0,0,0,0,0,0
urohyal median process,1,0,0,0,0,0,0,0,0,0
premaxillary-maxillary ligament,1,0,0,0,0,0,0,0,0,0
primordial ligament,1,0,0,0,0,0,0,0,0,0
caudal fin dorsal procurrent ray,1,0,0,0,0,0,0,0,0,0
caudal fin ventral procurrent ray,1,0,0,0,0,0,0,0,0,0
pterosphenoid-orbitosphenoid joint,1,0,0,0,0,0,0,0,0,0
parasphenoid-basioccipital joint,1,0,0,0,0,0,0,0,0,0
premaxillary tooth row,1,0,0,0,0,0,0,0,0,0
tip,1,0,0,0,0,0,0,0,0,0
interhyal-epihyal joint,1,0,0,0,0,0,0,0,0,0
epihyal-ceratohyal joint,1,0,0,0,0,0,0,0,0,0
ceratohyal-dorsal hypohyal joint,1,0,0,0,0,0,0,0,0,0
ceratohyal-ventral hypohyal joint,1,0,0,0,0,0,0,0,0,0
dorsal hypohyal-ventral hypohyal joint,1,0,0,0,0,0,0,0,0,0
inter-ventral hypohyal joint,1,0,0,0,0,0,0,0,0,0
dorsal hypohyal-urohyal joint,1,0,0,0,0,0,0,0,0,0
ventral hypohyal-urohyal joint,1,0,0,0,0,0,0,0,0,0
epihyal-branchiostegal ray joint,1,0,0,0,0,0,0,0,0,0
ceratohyal-branchiostegal ray joint,1,0,0,0,0,0,0,0,0,0
postcleithrum 1,1,0,0,0,0,0,0,0,0,0
postcleithrum 2,1,0,0,0,0,0,0,0,0,0
postcleithrum 3,1,0,0,0,0,0,0,0,0,0
hyomandibular condyle for the opercle,1,0,0,0,0,0,0,0,0,0
gill ray,1,0,0,0,0,0,0,0,0,0
hyoidean artery,1,0,0,0,0,0,0,0,0,0
suprapharyngobranchial,1,0,0,0,0,0,0,0,0,0
pharyngobranchial 1 tooth plate,1,0,0,0,0,0,0,0,0,0
epibranchial 4-upper pharyngeal toothplate joint,1,0,0,0,0,0,0,0,0,0
epibranchial 3-pharyngobranchial 3 joint,1,0,0,0,0,0,0,0,0,0
epibranchial 3-pharyngobranchial 4 joint,1,0,0,0,0,0,0,0,0,0
inter-hypobranchial 3 joint,1,0,0,0,0,0,0,0,0,0
basibranchial 1 cartilage,1,0,0,0,0,0,0,0,0,0
basibranchial 4 cartilage,1,0,0,0,0,0,0,0,0,0
basibranchial 5 cartilage,1,0,0,0,0,0,0,0,0,0
post-ceratobranchial cartilage,1,0,0,0,0,0,0,0,0,0
supraneural 2 cartilage,1,0,0,0,0,0,0,0,0,0
supraneural 3 cartilage,1,0,0,0,0,0,0,0,0,0
Weberian ossicle set,1,0,0,0,0,0,0,0,0,0
trunk sensory canal system,1,0,0,0,0,0,0,0,0,0
head sensory canal system,1,0,0,0,0,0,0,0,0,0
basibranchial 2 cartilage,1,0,0,0,0,0,0,0,0,0
opercular series,1,0,0,0,0,0,0,0,0,0
basibranchial 3 cartilage,1,0,0,0,0,0,0,0,0,0
neural arch 1,1,0,0,0,0,0,0,0,0,0
rib of vertebra 2,1,0,0,0,0,0,0,0,0,0
rib of vertebra 1,1,0,0,0,0,0,0,0,0,0
rib of vertebra 3,1,0,0,0,0,0,0,0,0,0
rib of vertebra 4,1,0,0,0,0,0,0,0,0,0
parapophysis + rib of vertebra 3,1,0,0,0,0,0,0,0,0,0
parapophysis + rib of vertebra 3 + rib of vertebra 4,1,0,0,0,0,0,0,0,0,0
accessory neural arch,1,0,0,0,0,0,0,0,0,0
neural spine 1,1,0,0,0,0,0,0,0,0,0
neural spine 2,1,0,0,0,0,0,0,0,0,0
neural spine 3,1,0,0,0,0,0,0,0,0,0
supraneural 1 bone,1,0,0,0,0,0,0,0,0,0
supraneural 1 cartilage,1,0,0,0,0,0,0,0,0,0
interhyal element,1,0,0,0,0,0,0,0,0,0
hypobranchial element,1,0,0,0,0,0,0,0,0,0
hypobranchial 1 element,1,0,0,0,0,0,0,0,0,0
PRPF3,1,1,1,1,0,0,0,1,1,1
SF3A1,1,1,1,1,0,0,0,1,1,1
SF1,1,1,1,1,0,0,0,1,1,1
MET,1,1,1,1,0,0,0,1,1,1
E2F1,1,1,1,1,0,0,0,1,1,1
RAD1,1,1,1,0,0,0,0,1,1,1
KRT15,1,1,1,1,0,0,0,1,1,1
CTCF,1,1,1,1,0,0,0,1,1,1
RABGGTA,1,1,1,0,0,0,0,1,1,1
COPS3,1,1,1,0,0,1,0,1,1,1
ADRA2B,1,1,1,1,0,1,0,1,1,1
MYL6,1,1,1,0,0,0,0,1,1,1
NUBP1,1,1,1,0,0,0,0,1,1,1
IHO1,1,1,1,0,0,0,0,1,1,0
VHL,1,1,1,1,0,0,0,1,1,1
GHITM,1,1,1,0,0,0,0,1,1,0
BRCA2,1,1,1,1,0,1,0,1,1,1
TLE5,1,1,1,1,0,0,0,1,1,1
CHML,1,1,1,0,0,0,0,1,1,1
AP2S1,1,1,1,1,0,0,0,1,1,1
SNU13,1,1,1,0,0,0,0,1,1,1
DDOST,1,1,1,1,0,0,0,1,1,1
SKP2,1,1,1,1,0,0,0,1,1,1
HNRNPA2B1,1,1,1,1,0,0,0,1,1,1
PRPF31,1,1,1,1,0,0,0,1,1,1
TMEM139,1,1,1,0,0,0,0,1,1,0
BSG,1,1,1,1,0,0,0,1,1,1
PTTG1IP,1,1,1,0,0,0,0,1,1,0
CLN5,1,1,1,1,0,0,0,1,1,0
DUSP5,1,1,1,0,0,0,0,1,1,1
RNF10,1,1,1,0,0,0,0,1,1,0
NDUFS6,1,1,1,1,0,0,0,1,1,1
NADK,1,1,1,0,0,0,0,1,1,1
ATP6AP2,1,1,1,1,0,0,0,1,1,1
CTSA,1,1,1,1,0,0,0,1,1,1
GNAI1,1,1,1,1,0,0,0,1,1,1
SEC23A,1,1,1,1,0,0,0,1,1,1
ECI2,1,1,1,0,0,0,0,1,1,1
NR2C2,1,1,1,1,0,0,0,1,1,1
SETD7,1,1,1,0,0,0,0,1,1,1
SF3A3,1,1,1,1,0,0,0,1,1,1
ZNF32,1,1,1,0,0,0,0,1,1,0
FOXA1,1,1,1,1,0,0,0,1,1,1
SUMO1,1,1,1,1,0,0,0,1,1,1
CHEK1,1,1,1,1,0,0,0,1,1,1
TERF2,1,1,1,1,0,0,0,1,1,1
SUV39H1,1,1,1,0,0,1,0,1,1,1
TTR,1,1,1,1,0,0,0,1,1,1
OXLD1,1,0,0,0,0,0,0,1,0,0
DDX42,1,1,1,0,0,0,0,1,1,1
RABEP1,1,1,1,0,0,0,0,1,1,1
DNAJC30,1,1,1,0,0,0,0,1,1,0
CASP8,1,1,1,1,0,1,0,1,1,1
SMC5,1,1,1,0,0,0,0,1,1,1
AQP1,1,1,1,1,0,1,0,1,1,1
ETS1,1,1,1,1,0,0,0,1,1,1
TERF1,1,1,1,0,0,0,0,1,1,1
EXOSC2,1,1,1,1,0,0,0,1,1,1
CHRD,1,1,1,0,0,0,0,1,1,0
STK4,1,1,1,1,0,0,0,1,1,1
ERGIC3,1,1,1,1,0,0,0,1,1,0
EGFR,1,1,1,1,0,1,0,1,1,1
H1-1,1,1,1,0,0,0,0,1,1,1
IRF4,1,1,1,1,0,0,0,1,1,1
hypobranchial 2 element,1,0,0,0,0,0,0,0,0,0
hypobranchial 3 element,1,0,0,0,0,0,0,0,0,0
hypobranchial 4 element,1,0,0,0,0,0,0,0,0,0
ceratobranchial element,1,0,0,0,0,0,0,0,0,0
ceratobranchial 1 element,1,0,0,0,0,0,0,0,0,0
ceratobranchial 2 element,1,0,0,0,0,0,0,0,0,0
ceratobranchial 3 element,1,0,0,0,0,0,0,0,0,0
ceratobranchial 4 element,1,0,0,0,0,0,0,0,0,0
ceratobranchial 5 element,1,0,0,0,0,0,0,0,0,0
epibranchial element,1,0,0,0,0,0,0,0,0,0
epibranchial 1 element,1,0,0,0,0,0,0,0,0,0
epibranchial 2 element,1,0,0,0,0,0,0,0,0,0
epibranchial 3 element,1,0,0,0,0,0,0,0,0,0
epibranchial 4 element,1,0,0,0,0,0,0,0,0,0
pharyngobranchial element,1,0,0,0,0,0,0,0,0,0
pharyngobranchial 1 element,1,0,0,0,0,0,0,0,0,0
pharyngobranchial 2 element,1,0,0,0,0,0,0,0,0,0
pharyngobranchial 3 element,1,0,0,0,0,0,0,0,0,0
pharyngobranchial 4 element,1,0,0,0,0,0,0,0,0,0
basibranchial 1 element,1,0,0,0,0,0,0,0,0,0
basibranchial 2 element,1,0,0,0,0,0,0,0,0,0
basibranchial 3 element,1,0,0,0,0,0,0,0,0,0
basibranchial 4 element,1,0,0,0,0,0,0,0,0,0
basibranchial 5 element,1,0,0,0,0,0,0,0,0,0
pseudotympanum,1,0,0,0,0,0,0,0,0,0
adipose eyelid,1,0,0,0,0,0,0,0,0,0
inter-frontal joint,1,0,0,0,0,0,0,0,0,0
aortic canal,1,0,0,0,0,0,0,0,0,0
occipital artery foramen,1,0,0,0,0,0,0,0,0,0
spiracular canal,1,0,0,0,0,0,0,0,0,0
posterior myodome,1,0,0,0,0,0,0,0,0,0
anterior myodome,1,0,0,0,0,0,0,0,0,0
articular fossa of opercle,1,0,0,0,0,0,0,0,0,0
epioccipital posterior process,1,0,0,0,0,0,0,0,0,0
accessory vomerine tooth plate,1,0,0,0,0,0,0,0,0,0
infranuchal scute,1,0,0,0,0,0,0,0,0,0
sensory canal tubular ossicle,1,0,0,0,0,0,0,0,0,0
sensory canal tubule,1,0,0,0,0,0,0,0,0,0
rostral plate,1,0,0,0,0,0,0,0,0,0
oral disk,1,0,0,0,0,0,0,0,0,0
posterior nasal barbel,1,0,0,0,0,0,0,0,0,0
anterior nasal barbel,1,0,0,0,0,0,0,0,0,0
maxillary barbel,1,0,0,0,0,0,0,0,0,0
inter-basipterygium joint,1,0,0,0,0,0,0,0,0,0
vertebra 4-vertebra 5 joint,1,0,0,0,0,0,0,0,0,0
orbitosphenoid-lateral ethmoid joint,1,0,0,0,0,0,0,0,0,0
autopalatine-maxillary joint,1,0,0,0,0,0,0,0,0,0
metapterygoid-autopalatine ligament,1,0,0,0,0,0,0,0,0,0
lateral ethmoid-autopalatine ligament,1,0,0,0,0,0,0,0,0,0
mesethmoid-premaxillary ligament,1,0,0,0,0,0,0,0,0,0
mesethmoid-maxillary ligament,1,0,0,0,0,0,0,0,0,0
hyomandibular-otic region joint,1,0,0,0,0,0,0,0,0,0
anal fin hook,1,0,0,0,0,0,0,0,0,0
caudal fin hook,1,0,0,0,0,0,0,0,0,0
inter-premaxillary joint,1,0,0,0,0,0,0,0,0,0
skin flap,1,0,0,0,0,0,0,0,0,0
dentary tooth row,1,0,0,0,0,0,0,0,0,0
epibranchial 1 bone proximal cartilage,1,0,0,0,0,0,0,0,0,0
epibranchial 2 bone proximal cartilage,1,0,0,0,0,0,0,0,0,0
ceratobranchial 3 bone distal cartilage,1,0,0,0,0,0,0,0,0,0
ceratobranchial 4 bone proximal cartilage,1,0,0,0,0,0,0,0,0,0
ceratobranchial 4 bone distal cartilage,1,0,0,0,0,0,0,0,0,0
ceratobranchial 5 bone distal cartilage,1,0,0,0,0,0,0,0,0,0
hypobranchial 1 bone distal cartilage,1,0,0,0,0,0,0,0,0,0
TMEM52B,1,1,1,0,0,0,0,1,1,0
H2AC4,1,1,1,0,0,0,0,1,1,1
GATA1,1,1,1,1,0,1,0,1,1,1
CEBPE,1,1,1,1,0,0,0,1,1,1
LCE1B,1,1,1,0,0,0,0,1,1,1
CSNK2B,1,1,1,1,0,0,0,1,1,1
SPEN,1,1,1,1,0,0,0,1,1,1
PPP1CA,1,1,1,0,0,0,0,1,1,1
USP4,1,1,1,0,0,0,0,1,1,1
GPR137B,1,1,1,0,0,0,0,1,1,0
HSPA1A,1,1,1,1,0,1,0,1,1,1
PCNA,1,1,1,1,0,0,0,1,1,1
SUMO2,1,1,1,0,0,0,0,1,1,1
MED16,1,1,1,1,0,0,0,1,1,1
YTHDF1,1,1,1,0,0,0,0,1,1,0
PRKAR1A,1,1,1,1,0,1,0,1,1,1
SMAD3,1,1,1,1,0,0,0,1,1,1
PLSCR1,1,1,1,1,0,0,0,1,1,0
MEOX1,1,1,1,1,0,0,0,1,1,0
EFNA5,1,1,1,1,0,0,0,1,1,1
PLP2,1,1,1,0,0,0,0,1,1,0
AK4,1,1,1,1,0,0,0,1,1,1
FGFR3,1,1,1,1,0,1,0,1,1,1
CCN2,1,1,1,1,0,1,0,1,1,1
GRB2,1,1,1,1,0,0,0,1,1,1
E2F4,1,1,1,0,0,0,0,1,1,1
FMR1,1,1,1,1,0,0,0,1,1,0
CHD3,1,1,1,1,0,0,0,1,1,1
ADD2,1,1,1,0,0,0,0,1,1,1
NEDD8,1,1,1,0,0,0,0,1,1,1
RNF181,1,1,1,0,0,0,0,1,1,1
HNRNPUL1,1,1,1,0,0,0,0,1,1,1
SYNCRIP,1,1,1,1,0,0,0,1,1,0
XPO1,1,1,1,1,0,0,0,1,1,1
SLC26A2,1,1,1,1,0,1,0,1,1,1
LMNA,1,1,1,1,0,1,0,1,1,1
UBE2I,1,1,1,1,0,0,0,1,1,1
PCDH20,1,1,1,1,0,0,0,1,1,0
TIAL1,1,1,1,0,0,0,0,1,1,1
CD82,1,1,1,0,0,1,0,1,1,0
E2F3,1,1,1,1,0,0,0,1,1,1
PAX6,1,1,1,1,0,1,0,1,1,1
COL8A1,1,1,1,1,0,0,0,1,1,1
CAPZA2,1,1,1,0,0,0,0,1,1,1
NPPB,1,1,1,1,0,1,0,1,1,0
RAB11A,1,1,1,0,0,0,0,1,1,1
SPI1,1,1,1,1,0,0,0,1,1,1
PSMD2,1,1,1,0,0,0,0,1,1,1
PPARD,1,1,1,1,0,1,0,1,1,1
PTEN,1,1,1,1,0,1,0,1,1,1
EP300,1,1,1,1,0,0,0,1,1,1
IL10RB,1,1,1,1,0,0,0,1,1,1
CORO1B,1,1,1,1,0,0,0,1,1,0
PABPC3,1,1,1,0,0,0,0,1,1,0
MS4A3,1,1,1,0,0,0,0,1,1,1
NFE2,1,1,1,0,0,0,0,1,1,1
STAT2,1,1,1,1,0,0,0,1,1,1
CSTF1,1,1,1,0,0,0,0,1,1,1
KRT18,1,1,1,1,0,0,0,1,1,1
CASP10,1,1,1,1,0,0,0,1,1,1
FTH1,1,1,1,1,0,0,0,1,1,1
UBC,1,1,1,0,0,0,0,1,1,1
CRCT1,1,1,1,0,0,0,0,1,1,0
DVL2,1,1,1,0,0,0,0,1,1,1
GNA12,1,1,1,1,0,0,0,1,1,1
ISLR,1,1,1,1,0,0,0,1,1,1
PRKCB,1,1,1,1,0,1,0,1,1,1
TNPO1,1,1,1,0,0,0,0,1,1,1
DUSP7,1,1,1,0,0,0,0,1,1,1
MAPK14,1,1,1,1,0,1,0,1,1,1
SERPINI2,1,1,1,0,0,0,0,1,1,0
POLB,1,1,1,1,0,0,0,1,1,1
CREB3,1,1,1,0,0,0,0,1,1,1
CYP1A1,1,1,1,1,0,1,0,1,1,1
COPS5,1,1,1,1,0,0,0,1,1,1
CLEC5A,1,1,1,1,0,0,0,1,1,1
CEBPG,1,1,1,0,0,0,0,1,1,1
ZNF76,1,1,1,0,0,0,0,1,1,0
HNRNPR,1,1,1,1,0,1,0,1,1,1
MAX,1,1,1,1,0,0,0,1,1,1
GRB7,1,1,1,1,0,0,0,1,1,1
MYH9,1,1,1,1,0,1,0,1,1,1
NDUFA8,1,1,1,1,0,0,0,1,1,1
NPPA,1,1,1,1,0,1,0,1,1,1
SLC35A1,1,1,1,1,0,1,0,1,1,1
INS,1,1,1,1,0,1,0,1,1,1
SHC1,1,1,1,1,0,1,0,1,1,1
DNAJC7,1,1,1,1,0,0,0,1,1,1
NCSTN,1,1,1,1,0,0,0,1,1,1
ZNF433,1,1,1,0,0,0,0,1,1,1
SF3A2,1,1,1,0,0,0,0,1,1,1
ID2,1,1,1,1,0,0,0,1,1,1
NUDT6,1,1,1,0,0,0,0,1,1,0
ATXN7L2,1,0,0,0,0,0,0,1,0,0
IMPDH2,1,1,1,1,0,0,0,1,1,1
MAGEA1,1,1,1,1,0,0,0,1,1,0
SMCO4,1,1,1,0,0,0,0,1,1,0
DGKZ,1,1,1,1,0,0,0,1,1,1
U2AF1,1,1,1,1,0,0,0,1,1,1
IL1R1,1,1,1,1,0,1,0,1,1,1
EPHA1,1,1,1,1,0,0,0,1,1,1
FXR1,1,1,1,1,0,0,0,1,1,1
PMPCB,1,1,1,1,0,0,0,1,1,1
RPL8,1,1,1,0,0,0,0,1,1,1
TRIM37,1,1,1,1,0,1,0,1,1,1
UACA,1,1,1,0,0,0,0,1,1,1
SNRPF,1,1,1,0,0,0,0,1,1,1
ARRB2,1,1,1,1,0,0,0,1,1,1
CDKN2A,1,1,1,1,0,0,0,1,1,1
POLE2,1,1,1,0,0,0,0,1,1,1
ACTB,1,1,1,1,0,1,0,1,1,1
ZNF414,1,1,1,0,0,0,0,1,1,0
ACP2,1,1,1,1,0,0,0,1,1,0
H4C11,1,1,1,0,0,0,0,1,1,1
AKAP9,1,1,1,1,0,0,0,1,1,1
PDE6A,1,1,1,1,0,0,0,1,1,1
HSP90AB1,1,1,1,1,0,0,0,1,1,1
KLC2,1,1,1,1,0,0,0,1,1,1
ATP6V1B2,1,1,1,1,0,0,0,1,1,1
FBXO34,1,1,1,0,0,0,0,1,1,0
JUND,1,1,1,1,0,0,0,1,1,1
GRN,1,1,1,1,0,1,0,1,1,1
PLXNB1,1,1,1,1,0,0,0,1,1,1
CCNA2,1,1,1,1,0,0,0,1,1,1
DHX57,1,1,1,0,0,0,0,1,1,0
APBB2,1,1,1,0,0,1,0,1,1,0
ITPRIP,1,1,1,0,0,0,0,1,1,0
KPNB1,1,1,1,1,0,0,0,1,1,1
hypobranchial 2 bone distal cartilage,1,0,0,0,0,0,0,0,0,0
epibranchial 3 bone uncinate process cartilage,1,0,0,0,0,0,0,0,0,0
epibranchial 4 bone uncinate process cartilage,1,0,0,0,0,0,0,0,0,0
epibranchial 5 element,1,0,0,0,0,0,0,0,0,0
outer mental barbel,1,0,0,0,0,0,0,0,0,0
inner mental barbel,1,0,0,0,0,0,0,0,0,0
parapophysis 4,1,0,0,0,0,0,0,0,0,0
intercostal ligament,1,0,0,0,0,0,0,0,0,0
subtemporal fossa,1,0,0,0,0,0,0,0,0,0
suprabranchial artery,1,0,0,0,0,0,0,0,0,0
interorbital septum,1,0,0,0,0,0,0,0,0,0
pad,1,0,0,0,0,0,0,0,0,0
maxillary tooth row,1,0,0,0,0,0,0,0,0,0
hyomandibula-metapterygoid joint,1,0,0,0,0,0,0,0,0,0
vertebral element 6,1,0,0,0,0,0,0,0,0,0
vertebral element 7,1,0,0,0,0,0,0,0,0,0
vertebral element 8,1,0,0,0,0,0,0,0,0,0
centrum 1,1,0,0,0,0,0,0,0,0,0
centrum 2,1,0,0,0,0,0,0,0,0,0
centrum 3,1,0,0,0,0,0,0,0,0,0
centrum 4,1,0,0,0,0,0,0,0,0,0
centrum 5,1,0,0,0,0,0,0,0,0,0
centrum 6,1,0,0,0,0,0,0,0,0,0
mandibular-hyoid median cartilage,1,0,0,0,0,0,0,0,0,0
epibranchial arborescent organ,1,0,0,0,0,0,0,0,0,0
lateral bone,1,0,0,0,0,0,0,0,0,0
branched anal fin ray,1,0,0,0,0,0,0,0,0,0
branched pectoral fin ray,1,0,0,0,0,0,0,0,0,0
gill raker row,1,0,0,0,0,0,0,0,0,0
papilla,1,0,0,0,0,0,0,0,0,0
maxillary canal,1,0,0,0,0,0,0,0,0,0
parietal-supraoccipital,1,0,0,0,0,0,0,0,0,0
posttemporal-supracleithrum,1,0,0,0,0,0,0,0,0,0
posterior cleithral process,1,0,0,0,0,0,0,0,0,0
posterior dentation of pectoral fin spine,1,0,0,0,0,0,0,0,0,0
anterior dentation of pectoral fin spine,1,0,0,0,0,0,0,0,0,0
anterior distal serration of pectoral fin spine,1,0,0,0,0,0,0,0,0,0
posterior dentation of dorsal fin spine 2,1,0,0,0,0,0,0,0,0,0
anterior dentation of dorsal fin spine 2,1,0,0,0,0,0,0,0,0,0
canal plate,1,0,0,0,0,0,0,0,0,0
axillary pore,1,0,0,0,0,0,0,0,0,0
